Date,Open,High,Low,Close,Volume
1951-09-30,21.1,23.71,21.1,23.26,108933334
1951-12-31,23.47,23.85,22.3,23.77,121846687
1952-03-31,23.8,24.66,23.09,24.37,115871285
1952-06-30,24.18,24.96,23.17,24.96,94134668
1952-09-30,25.12,25.55,24.45,24.54,76766667
1952-12-31,24.48,26.59,23.8,26.57,107366670
1953-03-31,26.54,26.66,25.29,25.29,118600000
1953-06-30,25.25,25.25,23.54,24.14,95755556
1953-09-30,24.24,24.84,22.71,23.35,81422217
1953-12-31,23.49,24.99,23.39,24.81,98333334
1954-03-31,24.95,26.94,24.8,26.94,123033335
1954-06-30,27.17,29.43,27.01,29.21,141811112
1954-09-30,29.21,32.69,29.21,32.31,166622220
1954-12-31,32.29,35.98,31.68,35.98,204066664
1955-03-31,36.75,37.52,34.58,36.58,223600000
1955-06-30,36.95,41.03,36.83,41.03,174844442
1955-09-30,41.19,45.63,41.19,43.67,167055556
1955-12-31,42.49,46.41,40.8,45.48,154999995
1956-03-31,45.16,48.87,43.11,48.48,170933333
1956-06-30,48.7,48.85,44.1,46.97,160544445
1956-09-30,46.93,49.64,45.35,45.35,141466665
1956-12-31,44.7,47.6,44.38,46.67,144644445
1957-03-31,46.2,46.66,42.39,44.11,134766664
1957-06-30,44.14,48.24,44.14,47.37,160355557
1957-09-30,47.43,49.13,42.42,42.42,140566668
1957-12-31,42.76,43.14,38.98,39.99,185111116
1958-03-31,40.33,42.58,40.33,42.1,151888892
1958-06-30,41.93,45.34,41.33,45.24,178866669
1958-09-30,45.28,50.06,45.11,50.06,226300000
1958-12-31,49.98,55.21,49.98,55.21,272566665
1959-03-31,55.44,56.67,53.58,55.44,257177779
1959-06-30,55.69,58.68,55.69,58.47,234555557
1959-09-30,58.97,60.71,55.14,56.88,199388887
1959-12-31,56.94,59.89,56,59.89,220044443
1960-03-31,59.91,60.39,53.47,55.34,211255557
1960-06-30,55.43,58,54.13,56.92,225077776
1960-09-30,57.06,58.07,52.48,53.52,200033336
1960-12-31,53.36,58.11,52.2,58.11,215233332
1961-03-31,57.57,65.06,57.57,65.06,329766667
1961-06-30,65.6,68.68,64.4,64.64,301988886
1961-09-30,65.21,68.46,64.41,66.73,229055552
1961-12-31,66.77,72.64,66.73,71.55,270144444
1962-03-31,71.55,71.96,67.55,69.55,239288890
1962-06-30,69.55,69.82,51.35,54.75,307144446
1962-09-30,54.75,60.33,54.47,56.27,241611109
1962-12-31,56.27,63.5,52.55,63.1,283977778
1963-03-31,63.1,67.01,62.32,66.57,284277774
1963-06-30,66.57,71.24,66.23,69.37,335488889
1963-09-30,69.37,73.87,67.54,71.7,305088886
1963-12-31,71.7,75.36,69.48,75.02,350011111
1964-03-31,75.02,79.89,74.82,78.98,353877775
1964-06-30,78.98,82.1,78.15,81.69,354211110
1964-09-30,81.69,84.8,80.8,84.18,327377776
1964-12-31,84.18,86.8,82.65,84.75,337999998
1965-03-31,84.75,88.19,83.77,86.16,384711111
1965-06-30,86.16,90.68,80.73,84.12,397188886
1965-09-30,84.12,91.13,83.3,89.96,388222223
1965-12-31,89.96,93.3,89.2,92.43,558055551
1966-03-31,92.43,94.72,86.69,89.23,600066668
1966-06-30,89.23,93.02,83.18,84.74,553222221
1966-09-30,84.74,88.19,73.91,76.56,446966667
1966-12-31,76.56,83.88,72.28,80.33,507844445
1967-03-31,80.33,91.72,79.43,90.2,683333330
1967-06-30,90.2,95.25,87.19,90.64,687399999
1967-09-30,90.64,98.31,90.12,96.71,699433334
1967-12-31,96.71,98.25,90.09,96.47,739633336
1968-03-31,96.47,97.84,86.73,90.2,699733334
1968-06-30,91.11,102.84,91.11,99.58,938544443
1968-09-30,99.58,103.67,95.79,102.67,738577778
1968-12-31,102.67,109.37,101.8,103.86,879477778
1969-03-31,103.86,104.87,96.63,101.51,747999999
1969-06-30,101.51,106.74,95.21,97.71,809599999
1969-09-30,97.71,100.33,88.04,93.12,721199996
1969-12-31,93.12,99.23,88.62,92.06,884511112
1970-03-31,92.06,94.25,84.42,89.63,735944445
1970-06-30,89.63,90.7,68.61,72.72,786400002
1970-09-30,72.72,84.99,70.69,84.3,833022222
1970-12-31,84.3,92.99,82.23,92.15,918777780
1971-03-31,92.15,102.03,90.64,100.31,1232844446
1971-06-30,100.31,105.6,96.92,98.7,1125033330
1971-09-30,99.16,102.25,92.81,98.34,931644442
1971-12-31,98.34,102.21,89.34,102.09,1037966673
1972-03-31,102.09,109.75,100.87,107.2,1288222222
1972-06-30,107.2,111.48,103.83,107.14,1131500000
1972-09-30,107.14,113.45,104.43,110.55,991133334
1972-12-31,110.55,119.79,106.27,118.05,1186222221
1973-03-31,118.06,121.74,107.41,111.52,1172599999
1973-06-30,111.52,113.65,101.36,104.26,982166665
1973-09-30,104.1,111.04,99.74,108.43,1012566665
1973-12-31,108.43,112.82,91.05,97.55,1341311113
1974-03-31,97.55,101.05,89.53,93.98,1032844448
1974-06-30,93.98,95.42,85.13,86,860844442
1974-09-30,86,86.89,62.52,63.54,926933334
1974-12-31,63.54,77.41,60.96,68.56,1087822226
1975-03-31,68.65,87.08,68.65,83.36,1455333336
1975-06-30,83.36,95.85,79.66,95.19,1506488890
1975-09-30,95.19,96.58,81.57,83.87,1109188886
1975-12-31,83.87,92.33,82.57,90.19,1148133334
1976-03-31,90.19,104.39,89.81,102.77,1957288888
1976-06-30,102.77,105.07,97.97,104.28,1294888890
1976-09-30,104.28,108.72,100.43,105.24,1283544444
1976-12-31,105.24,107.82,98.18,107.46,1418844444
